field,type,label
form1[0].BodyPage3[0].P3_N1B_FLD[0],text,1.B. Social Security Number
form1[0].BodyPage3[0].P3_N1C_CB1[0],checkbox,"1.C. Have you used any other names on your medical or educational records? Examples include maiden name, other married names, other names, or nickname. Yes"
form1[0].BodyPage3[0].P3_N1C_CB2[0],checkbox,NO
form1[0].BodyPage3[0].P3_N1CIfYes_FLD[0],text,"If YES, please list names used:"
form1[0].BodyPage3[0].P3_N1DAddress_FLD[0],text,"1.D. Mailing Address (Street or P O Box) Include apartment number, if applicable."
form1[0].BodyPage3[0].P3_N1DCity_FLD[0],text,City
form1[0].BodyPage3[0].P3_N1DState_FLD[0],text,State/Province
form1[0].BodyPage3[0].P3_N1DZip_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage3[0].P3_N1DCountry_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage3[0].P3_N1EEmail_FLD[0],text,1.E. Email Address
form1[0].BodyPage3[0].P3_N1FPhonePrim_FLD[0],text,"1.F. Daytime Phone Number(s) where we can call to speak with you or leave a message, if needed. Include area code or I D D and country code if outside the USA or Canada. Primary:"
form1[0].BodyPage3[0].P3_N1FPhoneSec_FLD[0],text,Secondary: (if available)
form1[0].BodyPage3[0].P3_N1G_CB1[0],checkbox,1.G. Can you speak and understand English? Yes
form1[0].BodyPage3[0].P3_N1G_CB2[0],checkbox,No
form1[0].BodyPage3[0].P3_N1GLang_FLD[0],text,"If no, what language do you prefer? If you cannot speak and understand English, we will provide an interpreter, free of charge."
form1[0].BodyPage3[0].P3_N1H_CB1[0],checkbox,1.H. Can you read and understand English? Yes
form1[0].BodyPage3[0].P3_N1H_CB2[0],checkbox,No
form1[0].BodyPage3[0].P3_N1I_CB1[0],checkbox,1.I. Can you write more than your name in English? Yes
form1[0].BodyPage3[0].P3_N1I_CB2[0],checkbox,No
form1[0].BodyPage3[0].P3_IsThereSomeone_CB1[0],checkbox,"SECTION 2 - CONTACTS Is there someone we can contact who can help with your claim, if needed? Examples include a family member, friend, or neighbor. Yes Please provide the names of two people (other than your doctors) we can contact who know about your medical condition(s) and can help you with your claim and can help us reach you if you become unavailable."
form1[0].BodyPage3[0].P3_IsThereSomeone_CB2[0],checkbox,"No We recommend that you provide at least one contact, if available. Providing the name of someone who knows you may help us to make a decision on your claim."
form1[0].BodyPage3[0].P3_N2A_FLD[0],text,"2.Ay. Name (First, Middle Initial, Last)"
form1[0].BodyPage3[0].P3_N2B_FLD[0],text,2.B. Relationship to the Person in 1.Ay.
form1[0].BodyPage3[0].P3_N2CAddress_FLD[0],text,"2.C. Mailing Address (Street or PO Box) Include apartment number, if applicable."
form1[0].BodyPage3[0].P3_N2CCity_FLD[0],text,city
form1[0].BodyPage3[0].P3_N2CState_FLD[0],text,State/Province
form1[0].BodyPage3[0].P3_N2C7ZIP_FLD[0],text,ZIP/Postal Code
form1[0].BodyPage3[0].P3_N2CCountry_FLD[0],text,Country (If not U S Ay)
form1[0].BodyPage3[0].P3_N2D_FLD[0],text,2.D. Daytime Phone Number (as described in 1.F. above)
form1[0].BodyPage4[0].P4_N2E_CB2[0],checkbox,No
form1[0].BodyPage4[0].P4_N2EIfNo_FLD[0],text,"If no, what language is preferred?"
form1[0].BodyPage4[0].P4_N2F_FLD[0],text,"2.F. Name (First, Middle Initial, Last)"
